_id,salaryMin,salaryMax
8bvhf,0,0
8w3rx,0,0
89i21,0,0
70tf5,0,0
6km6y,0,0
8w84a,0,0
8e6sq,0,0
8qssf,0,0
8oqb0,0,0
8t166,0,0
5r4gs,0,0
8bxhz,0,0
6u99m,0,0
8s83i,0,0
8uwwg,0,0
8o31e,0,0
8jddq,0,0
8n4nv,0,0
8teep,0,0
8mczc,0,0
5dbi6,60000,9999999
8v5y7,0,0
7z809,0,0
8ul8p,0,0
7flqy,0,0
8kzsu,0,0
8kzta,0,0
8uh3k,0,0
58xv4,0,0
8w8rk,0,0
8t2it,75000,9999999
8kzt9,0,0
8kzsm,0,0
7q4wh,0,0
8tzj4,0,0
8vv6o,0,0
817gq,50000,9999999
8ulg3,0,0
7z7cv,0,0
6i7pc,0,0
3k39u,0,0
8nala,0,0
8jaxj,0,0
8arx2,0,0
83cbr,0,0
8ap2c,0,0
77puv,35000,9999999
6sdbn,0,0
8v24i,0,0
8vfmx,0,0
8w848,0,0
8w84b,0,0
