_id,job_name,category
8flaz,雲端 / 維運工程師,DevOps / SRE / Cloud Engineer
8w3s4,資訊工程師（MIS-系統工程師）,DevOps / SRE / Cloud Engineer
7pitn,生物資訊工程師【大江基因_爭奪世界盃，邀你同行】,General Software Engineer
8v6q8,Promotion Analysis (6-month contract),Others
8tgvu,(遠距兼職可)API系統軟體工程師(懂Python與伺服器架設尤佳),General Software Engineer
8th5z,【上緯集團】機器人新事業_控制軟體工程師,General Software Engineer
89a38,Python 後端軟體工程師,Backend Engineer
8s79k,Senior Back End Developer_F81R,General Software Engineer
8l8j0,Video Streaming Engineer 影音串流工程師,General Software Engineer
8qzgw,APR 工程師（*此職缺非研發替代役*）,General Software Engineer
8prbc,Automation Test Developer 自動化測試工程師_VSBU,QA / Automation Engineer
8w4lt,NB軟體工程師_14953,General Software Engineer
8w2v7,vibe coder/AI agent 工程師,AI Engineer / Researcher
8s6er,【派駐聯發科/新竹/內湖】數據分析平台維運工程師,Data Scientist / Analyst
89i4t,【台北總部】eHRD事業群_產品發展處_Ai工程師,AI Engineer / Researcher
8ulmp,資深後端工程師 / DevOps 工程師（具基礎架構與維運經驗）,DevOps / SRE / Cloud Engineer
8vhlk,後端開發工程師 (Python)_產品資安新事業發展部(台北),Backend Engineer
86cbh,AI技術研發與內容生成師 (Gen AI Engineer/Artist),AI Engineer / Researcher
8vzq3,Digital Twin工程師、資料工程師、後端工程師_14874,Data Engineer
8p1gz,【年度擴編】Python 後端工程師｜保障14個月＋獎金・軟體開發部,Backend Engineer
8vzvx,風險_個金風險規劃分析人員,Others
8vn0j,【New Rocker Program】2026聲力軍實習計畫: AI Assistant Engineer (Audio Software),AI Engineer / Researcher
8dhvi,AI系統開發工程師,AI Engineer / Researcher
8vsla,Artificial Intelligence  Software Engineer,AI Engineer / Researcher
8alde,數位轉型專案經理(總公司),Others
8vsus,【產品開發部】後端工程師 Backend Engineer,Backend Engineer
8juxi,AI Engineer,AI Engineer / Researcher
6xtfl,Python 後端開發工程師 (台北),Backend Engineer
8vglt,【外貿協會】爬蟲工程師(市場情報中心/智慧洞察組) #238,General Software Engineer
86auy,資料科學/深度學習工程師 （Data Scientist / Deep Learning Engineer）,AI Engineer / Researcher
8uzes,Forward Deployed Engineer,General Software Engineer
8ummw,【凱基證券/衍生性商品部】量化交易員,Others
7tib9,【財務暨營運儲備幹部】｜中階主管養成,Others
66cft,程式設計師(新金融商品部),Others
8w54s,專案工程師_14913,General Software Engineer
3o5cn,(大數據)零售研究員/資深研究員【擴編】,Others
7evi2,EIS | 後端開發工程師（Java為主｜Python為輔｜願意學習者優先）,Backend Engineer
8noqu,衍商_交易系統開發工程師,General Software Engineer
4ftgq,資料工程師,Data Engineer
8jz7u,數位資訊中心AI資訊工程師,AI Engineer / Researcher
8uhgu,【豐藝集團 AI 子公司】Software QC Engineer 軟體品質控管工程師,AI Engineer / Researcher
8b3wj,F0128 -Software Development Engineer in Test (Networking),QA / Automation Engineer
8w0h7,DevOps 工程師,DevOps / SRE / Cloud Engineer
8vupu,量化分析_副研究員,Others
8bqzx,程式腳本維運工程師（專業服務部V組）,General Software Engineer
8w03q,資深運維主管,DevOps / SRE / Cloud Engineer
6vhj8,系統開發程式設計師(R4),Others
8mp5t,Camera驗證工程師,General Software Engineer
7hqn3,Software Automation Engineer_RSBU SWRD,QA / Automation Engineer
81za3,資料工程師,Data Engineer
8sbho,"資料科學家Data Scientist | 生物資訊Bioinformatics, 系統生物 System Biology",Data Scientist / Analyst
8fm9f,DevOps / SDET（End-to-End 測試）工程師,DevOps / SRE / Cloud Engineer
4u9yz,資料探勘工程師 / Data Mining Engineer,Data Scientist / Analyst
8syzj,風險管理策略規劃資深專員_內容,Others
8rbbl,資安分析師（Security Analyst）,Others
8vw61,AI 研發助理／實習生（無經驗可）,AI Engineer / Researcher
868l6,Robot Sensor Design Engineer,General Software Engineer
8viql,資料系統與界面開發工程師(計畫約聘/駐點氣象署)(PS120),General Software Engineer
7tkwm,大型知識探索工程師（LLM Discovery Engineer）,AI Engineer / Researcher
7s21z,客戶成功經理 ｜Customer Success Manager,Others
7s7c8,AI營運管理主管 CAIO （Chief AI Operation Officer）,AI Engineer / Researcher
79idb,"Machine Learning Scientist, LLM (intern/graduate) - Taipei",AI Engineer / Researcher
8jxww,"[台北] Digital Twin Engineer, Omniverse",General Software Engineer
7gqav,〔個金〕異常監控分析專員,Others
8q79p,軟體測試工程師 (Windows-based and Cloud-based software applications),DevOps / SRE / Cloud Engineer
8v00p,顧問類(台北)-顧問/資深顧問 (金融保險業數據分析/風險模型),Data Scientist / Analyst
8rf0p,後端工程師 (薪資:6.5萬~9.5萬)(員工配股、薪資優)【台北內湖】,Backend Engineer
8vruy,RD21967 MLOps/AIOps SRE - Software Engineer(Enterprise Networking),AI Engineer / Researcher
8hphc,(SoC Team) 數位IC設計工程師 (Middle end Engineer) （*此職缺非研發替代役*）,General Software Engineer
7uazx,FAE工程師（台北）,General Software Engineer
7u4cw,產經實習助理、投資助理,Others
8rjfn,自動化軟體研發工程師/技術課長/技術主任_14455,QA / Automation Engineer
72rt2,AI數據工程師.,AI Engineer / Researcher
8phod,【外貿協會】數位科技中心-軟體工程師  _ OCS_830,General Software Engineer
7rqvi,KL-【外商半導體大廠】-軟體測試工程師Testing Engineer(歡迎資訊科系畢業生!/月薪40K),QA / Automation Engineer
87pey,風險管理處-市場風險數據分析人員,Data Scientist / Analyst
8vg3d,個金_數據平台規劃人員,Others
8udp2,人形機器人運動學/控制開發工程師 (Humanoid Robotics Kinematics & Control Engineer),General Software Engineer
8v0lt,DevOps 運維工程師 DevOps Engineer,DevOps / SRE / Cloud Engineer
8txvy,系統開發工程師_14683,General Software Engineer
8kg3e,科技部_軟體工程師 Software Engineer (內部系統),General Software Engineer
7sldi,(1666)Switch/Router網通產品軟體測試工程師-南港,QA / Automation Engineer
8edl5,Image Validation Engineer,General Software Engineer
7bc53,OpenBMC Engineer,General Software Engineer
8uxe9,TaiwanPlus 數位分析室-數位分析研究員,AI Engineer / Researcher
7tkdx,Business Operation Internship 客戶關係經營實習生,Others
8vbn8,【計畫聘用人員】臺大醫院資料科學研究團隊誠徵統計人員,Data Scientist / Analyst
5cdpt,資料分析師,Data Scientist / Analyst
8q42a,AI Architect / AI 架構師,AI Engineer / Researcher
8s9e1,前端工程師,Frontend Engineer
8vu3g,資深系統服務 QA 工程師 (Senior System Services QA Engineer),QA / Automation Engineer
7nvpv,MITxTaipei Tech 機器人軟硬體工程師(初~中階),AI Engineer / Researcher
7dpwf,資料工程師 Data Engineer,Data Engineer
6k2x6,資料分析師 (Data Analyst),Data Scientist / Analyst
86nbr,Data Engineer【開放年後報到】,Data Engineer
8vsph,【凱基證券/投顧投資顧問部】量化策略研究員,Others
8tw56,AI Engineering Intern,AI Engineer / Researcher
8vyto,自動化工程師,QA / Automation Engineer
6ttpk,測試工程師/資深測試工程師 Software Development Engineer in Test(SDET),QA / Automation Engineer
8dumw,【2026年研發替代役】Machine Learning and Computer Vision Engineer (機器學習與電腦視覺工程師),AI Engineer / Researcher
8v5zm,【產品開發部】資深全端工程師 Senior Fullstack Engineer,Fullstack Engineer
8vz35,TA4825 AI 資深工程師,AI Engineer / Researcher
7rfk2,行政專員(外商金融),Others
8o4hy,Embedded Cybersecurity Engineer,Embedded / Firmware Engineer
73nm5,【小樹購】資深後端工程師 Senior Backend Engineer,Backend Engineer
8vq0s,年後職缺搶先看｜【外貿協會】市場情報中心－專案經理＿OCS_830,Others
