_id,salaryMin,salaryMax
72r9v,44125,65000
65wsl,50000,80000
7znf1,50000,70000
8dcan,32000,38000
3x3i2,40000,70000
8rluk,30000,40000
8pwyo,76923,92307
8vw9f,50000,70000
77cs7,38000,43000
8dbf6,32000,45000
774xj,28590,35000
8dkbo,45000,55000
87kx2,37000,49000
7naou,50000,92307
8pwzb,76923,92307
8t2s6,60000,90000
8q1t4,76923,115384
8f4w5,45000,65000
7hpa6,50000,100000
40pcd,76923,153846
8rn3d,40000,50000
89e29,50000,90000
7wxb5,30000,40000
7yjfv,50000,100000
8a3nj,35000,42000
20npb,48000,50000
8uum9,45000,60000
8ec4f,40000,60000
56zfg,30000,50000
71gxw,33000,45000
8dkbm,50000,68000
86y95,35000,60000
8rk6a,55000,70000
8i42d,36000,50000
8mn0w,32375,47819
84hnu,57692,92307
7ogcd,30000,40000
8q30p,35000,40000
76peb,35000,45000
8vtne,38000,45000
6rezg,60000,80000
87svq,35000,100000
8usk6,60000,60000
8qteg,36000,40000
8jiuq,40000,50000
7pimd,50000,53000
8dfhc,32000,40000
8vzcm,38000,42000
8ll7l,30000,40000
62q9w,35000,60000
776gw,35000,45000
8sxns,38000,45000
83ojx,75000,120000
88t8t,60000,100000
7mtc8,65000,75000
8p29e,50000,120000
8qcxg,45000,100000
8lo4q,30000,38000
87j13,85000,150000
8ipyv,50000,70000
5hmrh,35000,55000
8q544,70000,150000
8t2sn,60000,90000
8cbyv,115384,192307
8v90l,69230,115384
8sohg,35000,39000
77jpv,45000,55000
8asnt,40000,45000
8cxjq,92307,184615
8w68o,35000,50000
8t2a7,35000,65000
6v4vg,28590,28590
8gcgt,61538,153846
8sw0y,40000,55000
8t4xk,50000,79998
80zho,65000,100000
7v7o1,35000,40000
72jad,33000,35000
8uyty,50000,70000
67nva,30000,60000
7mx7g,76923,130769
897io,32000,40000
8vdv8,30000,35000
8w04x,55000,70000
8ponx,35000,40000
4u5yg,42000,78000
791zn,30000,40000
8i9vo,28590,30000
8w2be,36000,43000
8p7zy,40000,70000
8nas8,35000,55000
8vzt6,35000,35000
8a99u,40000,43000
72r0i,55000,85000
8r9e5,29000,31000
82tsp,35000,45000
88d8j,31000,35000
8s6ym,48000,50000
6qjzn,45000,70000
8w36e,30000,34000
8oflj,45000,100000
8w6fb,60000,80000
8w6dz,53846,92307
8mz3e,45000,100000
8tji5,55000,120000
89olt,90000,130000
8ojch,76923,115384
83wqg,46153,92307
8ukkx,55000,65000
8oz7i,45000,50000
8rydt,50000,100000
8qr3r,76923,100000
8ug1s,100000,138461
6a07m,40000,100000
8pasj,76923,176923
8uqxe,45000,55000
8tglm,56923,88461
7yyv3,76923,115384
8tic8,85000,95000
8vom1,40000,45000
83xpq,42307,69230
8af7m,110000,160000
82txu,76923,115384
8nwol,50000,68000
7pvz8,45000,99000
8ie20,40000,80000
88rxu,60000,80000
8spy3,70000,80000
8tn6l,70000,125000
8kgis,60000,120000
7gpuf,46153,61538
8vqv0,46153,92307
8czhe,70000,125000
