_id,description
8sbho,Git
8sbho,Python
8sbho,R
8sbho,MLOPs
4u9yz,Python
8viql,Linux
8viql,Python
8vruy,Python
8kg3e,COBOL
8kg3e,PHP
8kg3e,Python
8kg3e,MySQL
8vbn8,SAS
8vbn8,Python
8vbn8,R
5cdpt,Python
5cdpt,R
7dpwf,Python
7dpwf,MS SQL
6k2x6,Python
6k2x6,LLM
6k2x6,Prompt
80g1d,Python
80g1d,ETL
80g1d,SAP
7f52h,Git
7f52h,Python
7f52h,MS SQL
8ix5r,ChatGPT
8ix5r,AWS
8ix5r,Microsoft Azure
8ix5r,LLM
8ix5r,SaaS
8ix5r,Python
8ix5r,C#
86aui,Linux
86aui,C++
86aui,Python
81z9y,Python
7hf8u,Github
7hf8u,Python
7hf8u,UNIX
7bdre,Linux
7bdre,Java
7bdre,Python
7bdre,JDBC
7bdre,MySQL
7bdre,ODBC
76wdy,Python
76wdy,R
76wdy,SAS
76wdy,SPSS
889qn,Linux
889qn,Windows Server 2019
889qn,Git
889qn,Python
889qn,Visual Studio
889qn,MS SQL
86m48,Linux
86m48,C
86m48,C++
86m48,Python
7gsl1,Linux
7gsl1,C
7gsl1,C++
7gsl1,Python
3omui,Linux
3omui,C
3omui,Python
3omui,TCP/IP
73am4,Python
73am4,MySQL
73am4,hadoop
73am4,Hive
8lrzp,PostgreSQL
8lrzp,Linux
8lrzp,Github
8lrzp,Jenkins
8lrzp,Git
8lrzp,C
8lrzp,C++
8lrzp,Python
8lrzp,MySQL
8lrzp,DNS
8lrzp,FTP
8lrzp,HTTP
8lrzp,LAN
8lrzp,Security
8lrzp,TCP/IP
8lrzp,UDP
8syby,HTML
8syby,CSS
8syby,Python
8syby,JavaScript
8syby,ChatGPT
8syby,PostgreSQL
8cx69,Java
8cx69,Python
8cx69,Go
8cx69,ETL
8cx69,MySQL
8cx69,PostgreSQL
8cx69,AWS
7mof7,Java
7mof7,Python
8tyah,Python
7wutg,Linux
7wutg,Python
7wutg,AWS
7wutg,HTML
7wutg,JavaScript
7wutg,CSS
8p6el,C++
8p6el,Java
8p6el,Python
8p6el,AWS
8p6el,FTP
8e0qu,Linux
8e0qu,Shell
8e0qu,Git
8e0qu,C++
8e0qu,Python
8tdh6,Linux
8tdh6,Shell
8tdh6,Git
8tdh6,Python
7ez67,Linux
7ez67,Github
7ez67,Git
7ez67,Python
7ez67,R
7ez67,MS SQL
7ez67,PostgreSQL
7gu74,Linux
7gu74,C#
7gu74,C++
7gu74,Java
7gu74,Python
7gu74,Go
7gu74,JavaScript
7mgua,Python
7mgua,R
7mgua,Excel
7mgua,PowerPoint
7mgua,Word
7mgua,中文打字20~50
7mgua,英文打字20~50
7mgua,Tableau
7mgua,Power BI​
7mgua,SAS
7mgua,SPSS
8vydf,Python
8vydf,AWS
8vydf,Github
8qlik,Python
8qlik,AWS
8qlik,LLM
8qlik,MLOPs
8qlik,Cloud
8qlbk,Python
8qlbk,AWS
8qlbk,LLM
8qlbk,Cloud
7fxhq,Linux
7fxhq,Python
7fxhq,MySQL
7fxhq,MS SQL
7fxhq,Oracle
7fxhq,PostgreSQL
7fxhq,hadoop
7fxhq,Tableau
8cxgu,Python
8cxgu,JavaScript
73510,Python
73510,R
73510,SAS
8qxu5,Python
8qxu5,MySQL
8qxu5,PyTorch
8tpdm,PyTorch
8tpdm,Power BI​
8tpdm,Python
8tpdm,R
8l3ub,Github
8l3ub,Git
8l3ub,Python
7vwye,Python
7vwye,NLP
7vwye,MySQL
87p9z,Python
87p9z,ETL
87p9z,MS SQL
87p9z,Excel
87p9z,Tableau
87p9z,Power BI​
8vt1f,MS SQL
8vt1f,Python
8vt1f,ETL
8vt1f,Git
8lqxs,Linux
8lqxs,Git
8lqxs,C
8lqxs,C++
8lqxs,Python
8lqxs,PyTorch
8lqxs,tensorflow
8lqxs,MLOPs
8lqxs,LLM
7xeh1,C++
7xeh1,Python
7xeh1,Go
7xeh1,MS SQL
7xeh1,AWS
8uu0k,Python
8jl93,iOS
8jl93,Github
8jl93,Git
8jl93,Python
8jl93,Objective-C
85yiu,Linux
85yiu,Shell
85yiu,Git
85yiu,Python
85yiu,Go
85yiu,MySQL
85yiu,PostgreSQL
85yiu,AWS
6fpnp,hadoop
6fpnp,Power BI​
6fpnp,Google Analytics
6fpnp,Tableau
6fpnp,Word
6fpnp,Visio
6fpnp,Project
6fpnp,PowerPoint
6fpnp,Outlook
6fpnp,Excel
6fpnp,DNS
6fpnp,AWS
6fpnp,Oracle
6fpnp,MySQL
6fpnp,MS SQL
6fpnp,ETL
6fpnp,Python
8vfc7,C++
8vfc7,Python
8t66j,Linux
8t66j,Github
8t66j,PHP
8t66j,Python
8t66j,MySQL
8t66j,PostgreSQL
8t66j,RDBMS
8t66j,Django
8n5yu,Python
8n5yu,Excel
8n5yu,Google Analytics
8n5yu,Google關鍵字廣告
8tfmd,Python
8cxkj,Github
8cxkj,VPN
8cxkj,ssh
8cxkj,AWS
8cxkj,hadoop
8cxkj,RDBMS
8cxkj,Go
8cxkj,Python
8cxkj,Perl
8cxkj,Git
8cxkj,Jenkins
8cxkj,iOS
8cxkj,Linux
8va1d,Python
8va1d,ETL
8va1d,MySQL
8va1d,PostgreSQL
4blpk,Linux
4blpk,Python
4blpk,AWS
6dcfl,Python
6dcfl,MySQL
6dcfl,AWS
8kn2x,C#
8kn2x,Python
8kn2x,Database Management
8kn2x,SAP
7p8if,Python
7p8if,Excel
7p8if,Outlook
7p8if,PowerPoint
7p8if,Word
8sowq,C++
8sowq,LLM
8sowq,Python
7bedq,Linux
7bedq,Python
7bedq,MySQL
7bedq,Shell
7osnc,Python
7osnc,ETL
7osnc,Django
7osnc,Power BI​
8tbys,Excel
8tbys,Outlook
8tbys,PowerPoint
8tbys,Word
8tbys,Python
8tbys,Google Analytics
8tbys,Tableau
8tbys,Git
8tbys,Database Management
8tbys,ETL
8tbys,MySQL
8tbys,PostgreSQL
8qjqu,Linux
8qjqu,Python
8qjqu,PostgreSQL
8qjqu,hadoop
8qjqu,ETL
8qjqu,Git
8v8ak,Python
8v8ak,Scrum
8v8ak,C#
8v8ak,ASP.NET
8cx70,Linux
8cx70,C
8cx70,C++
8cx70,Python
8cx70,3ds Max
8cx70,Unity3D
8cx70,Unity
8rady,Linux
8rady,Java
8rady,Python
8rady,Scala
8rady,hadoop
8rady,Hive
8rady,ETL
8rady,MySQL
72ycg,Java
72ycg,Python
72ycg,R
72ycg,MS SQL
72ycg,Excel
72ycg,Google Analytics
72ycg,Google Tag Manager
72ycg,Google Data Studio
72ycg,Firebase
72ycg,Power BI​
8tft1,Git
8tft1,PostgreSQL
8tft1,RDBMS
8tft1,JavaScript
8tft1,AWS
8tft1,Prototype
8tft1,Cloud
8tft1,ReactJS
8tft1,Github
8tft1,Python
8tft1,Go
8brcs,Github
8brcs,Git
8brcs,Python
8brcs,Django
8brcs,ChatGPT
8brcs,Java
8brcs,JavaScript
8si2o,Python
8si2o,Shell
8si2o,Git
8vdvc,Python
8l3p1,Python
8l3p1,ETL
8l3p1,MS SQL
8l3p1,Excel
8l3p1,Power BI​
8k4kp,Java
8k4kp,Python
8k4kp,R
8k4kp,Excel
8k4kp,PowerPoint
8k4kp,Word
8cxit,Linux
8cxit,C
8cxit,C++
8cxit,Python
8squ9,Python
8squ9,Node.js
8squ9,Go
8squ9,Git
8squ9,MySQL
8squ9,PL/SQL
8squ9,SaaS
8cy5z,Linux
8cy5z,C
8cy5z,C++
8cy5z,Python
7olnj,Linux
7olnj,Git
7olnj,Python
7olnj,MySQL
7olnj,PostgreSQL
8q6g9,Python
8q6g9,Git
8q6g9,JavaScript
8q6g9,ReactJS
