_id,salaryMin,salaryMax
8uzxi,0,0
8q3fh,0,0
8vwlx,0,0
8v1ma,0,0
8s31b,0,0
8qbcr,0,0
845tm,0,0
8rerd,0,0
8k7ao,0,0
8adcs,0,0
8tpdm,0,0
8l6q7,0,0
8vtgc,0,0
8kq2a,100000,9999999
89j52,0,0
8vx9o,70000,9999999
8sfck,0,0
8s8g2,0,0
8j2fp,0,0
8to87,0,0
8l3ub,0,0
7vwye,0,0
8kwo6,0,0
8q8wq,0,0
8i9k3,35000,9999999
8p2a4,0,0
87pdz,0,0
8vr9v,0,0
7pe3h,0,0
87p9z,0,0
81x0z,0,0
7dwws,0,0
8vxst,0,0
8ugvz,0,0
8nk21,0,0
8ctvr,60000,9999999
8qdvg,0,0
8cupa,50000,9999999
8vt1f,38000,9999999
8qnwp,0,0
7e1sl,38461,9999999
71j4l,60000,9999999
8vs27,0,0
8vwjk,80000,9999999
7zlep,0,0
88uya,0,0
7py44,0,0
8gh3n,53846,9999999
8hooh,0,0
7xlli,0,0
85ngs,0,0
8c01d,0,0
7xeh1,0,0
7763m,0,0
8r4i6,0,0
8s5gz,0,0
7h0ls,0,0
7p6rn,35200,9999999
8uw80,0,0
8tlge,0,0
8gt09,0,0
8r67g,0,0
8uv9w,0,0
8pkn9,0,0
8gpir,0,0
889ho,0,0
8jl93,0,0
8lqe0,0,0
85yiu,0,0
8rf3e,55000,9999999
81lto,0,0
8reup,0,0
7edni,0,0
6fpnp,0,0
7lxkd,0,0
8ouih,0,0
8szsp,0,0
8v0ck,70000,9999999
8vfc7,0,0
8tns3,0,0
8t66j,70000,9999999
8n5yu,0,0
89hlr,0,0
8tfmd,69230,9999999
8twfo,0,0
8bjdd,0,0
8j7q1,0,0
8knwn,0,0
8j8qw,0,0
8uinx,0,0
6zlv3,0,0
8r4zm,0,0
8s7mu,0,0
8kboe,0,0
7hv1h,0,0
8vzqh,40000,9999999
8otz5,0,0
8pncw,30000,9999999
6z51p,0,0
86ir6,0,0
8cih1,0,0
7ypg2,0,0
8o8vl,0,0
8veq8,76923,9999999
8ledo,0,0
8v19j,0,0
8qw1r,0,0
8skrs,0,0
8uqnq,0,0
8k3po,60000,9999999
8uyde,0,0
8tylt,0,0
8u5a5,80000,9999999
8w3ty,0,0
8n6vw,0,0
8k0bz,0,0
8rcj8,0,0
8p8lz,0,0
87pdh,0,0
8va1d,0,0
4blpk,0,0
6dcfl,0,0
8kn2x,0,0
87ou1,0,0
83scl,0,0
8ua1y,0,0
8vodc,70000,9999999
8qcv8,0,0
8p4d6,0,0
7bedq,0,0
8txea,50000,9999999
8tbys,0,0
87l1q,0,0
8lhqq,0,0
8ahgb,80000,9999999
8e5ry,0,0
6ewqy,0,0
8ah6z,0,0
8nvak,80000,9999999
8s7jv,0,0
8qjqu,0,0
8tffa,0,0
7dumf,0,0
6m80o,0,0
7fmxh,0,0
8lafh,0,0
7kn54,0,0
7gza5,40000,9999999
8v8ak,60957,9999999
8s0ud,0,0
8tq38,0,0
8uk5h,70000,9999999
8rady,0,0
8vg4l,0,0
50k3d,0,0
8t12g,40000,9999999
8oh1v,0,0
8vlqj,0,0
8shvj,45000,9999999
72ycg,0,0
8lvu0,184615,9999999
84k2i,0,0
8smxk,0,0
8brcs,0,0
8spfi,0,0
8si2o,90000,9999999
874ls,0,0
7oh8y,0,0
8lakk,0,0
8vdvc,0,0
7e88o,0,0
8uo8n,0,0
731jy,0,0
8l3p1,0,0
8uuyt,0,0
8t4hm,0,0
8s9n3,0,0
8nyk8,80000,9999999
8joo2,0,0
8sxmk,0,0
8cnls,0,0
8vfkh,0,0
6sxgk,0,0
8k4kp,0,0
4bma8,0,0
8b00a,0,0
80ss9,0,0
7jqaz,0,0
8rnp9,0,0
7xz7b,50000,9999999
8vdas,0,0
8us63,0,0
8b8kp,0,0
8d12i,40000,9999999
7olnj,45000,9999999
8q6g9,0,0
8vg2d,0,0
8q8pl,0,0
8qg9c,0,0
8r518,0,0
8vc0v,0,0
8tqbi,0,0
8kue1,0,0
8qma7,0,0
8q23g,0,0
8b89z,0,0
7xncf,0,0
8uezg,0,0
8utgb,0,0
6erqt,0,0
8j7pd,69230,9999999
8pekt,0,0
8vm3e,0,0
8us40,0,0
7toxq,0,0
7util,0,0
8vnbx,0,0
8mx4q,43000,9999999
8s9nj,0,0
8pcdj,0,0
8ut9h,33600,9999999
8qu2y,0,0
853i6,0,0
8ulkz,0,0
8tmv3,0,0
8u65f,0,0
7x0l5,0,0
8kbmz,0,0
7xpbb,0,0
8ule8,0,0
8w093,40000,9999999
8od3z,0,0
8avnl,0,0
8vn8j,0,0
8v1nv,0,0
5mqzq,0,0
8qge7,0,0
80ssj,0,0
6i6f0,0,0
7lwdl,32000,9999999
7zegt,0,0
6i8ue,0,0
7e118,0,0
8dc9n,80000,9999999
7krs7,0,0
853np,0,0
8gpkl,0,0
8te4m,0,0
8rwiq,0,0
8pzsv,0,0
8qbkk,47000,9999999
8lo09,0,0
8n951,0,0
8anue,0,0
8t5hv,61538,9999999
7ll1d,60000,9999999
87xqp,0,0
65a2v,0,0
7gpj8,0,0
8281x,0,0
7rpis,0,0
8jlyr,0,0
8shra,0,0
8umu3,0,0
7m3cw,0,0
8nyso,0,0
887qc,0,0
8ply3,0,0
840xu,0,0
8t287,0,0
8ti6d,0,0
85nv4,0,0
8op60,0,0
8q5o0,0,0
8tji1,0,0
6xnq0,0,0
8vtuw,0,0
7n2l7,153846,9999999
8hpdh,0,0
884eb,40000,9999999
8k0b3,0,0
7jy3l,0,0
71caq,0,0
8t66v,80000,9999999
8onss,0,0
3rtvw,0,0
8q23n,0,0
8jeb9,0,0
8uk1p,100000,9999999
8v66l,0,0
7uk4j,0,0
6rddw,0,0
84ofi,0,0
8tlpl,0,0
8sfmv,0,0
8tpyz,0,0
8q6gz,0,0
8qo7q,0,0
7937m,0,0
3cutx,0,0
8su2w,0,0
8s4cn,0,0
8k6l2,0,0
8mtc6,0,0
84kn3,0,0
8trsy,0,0
8kbs5,0,0
8ns1y,0,0
8ttbb,0,0
87l8k,0,0
8q6w2,0,0
7sty4,0,0
8rh1n,0,0
8cy5n,107692,9999999
8r80w,0,0
87rk9,0,0
7lfz7,0,0
8v2e0,0,0
8l2cy,42000,9999999
88tmi,45000,9999999
7r15h,0,0
8pyav,0,0
6q0d3,0,0
8qmig,0,0
77ilz,40000,9999999
8cu85,0,0
6z1zw,40000,9999999
8enq7,0,0
8bp3o,0,0
8vwrz,0,0
8v7pb,0,0
8p2qs,0,0
8jmq2,0,0
8u9z1,0,0
8t187,0,0
6wyuy,0,0
7wisc,0,0
8tyj2,0,0
7v0e3,0,0
7ihuk,0,0
8relc,0,0
8jvge,0,0
8usc3,0,0
8w1vp,0,0
8te5p,0,0
8cmdl,0,0
8ryui,0,0
8n58n,0,0
84xyg,0,0
8phhn,0,0
8r2h4,0,0
86dp9,0,0
8tymj,0,0
81zdc,0,0
83d0r,0,0
37tef,0,0
8v996,0,0
8ukbm,0,0
8p8r6,0,0
8ikwv,0,0
8rkm8,0,0
7g1tw,0,0
8ux11,0,0
8w4it,0,0
8s3nl,0,0
8lxd2,0,0
8p7ye,0,0
74xkx,0,0
7u8qk,70000,9999999
885y2,0,0
7cc6o,34000,9999999
8k6xg,0,0
87lum,0,0
8ppdw,0,0
8tony,0,0
8v4ou,0,0
8opms,44000,9999999
7bdqr,0,0
8qubg,0,0
8td5h,0,0
8qbni,0,0
79xm7,0,0
73ifb,48000,9999999
8lttn,0,0
83aon,0,0
8ulc6,0,0
8r4f8,0,0
8qkz8,0,0
8m4mk,0,0
8a399,0,0
